Chembl_id,SMILES,pIC50,MW,LogP,HBD,HBA,TPSA,RotBonds,ArRings,Rings,HeavyAtoms
CHEMBL4166038,COc1cc(-n2cc(CN3CCNCC3)nn2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.050609993355087,598.133,3.793800000000002,3,12,139.19,10,4,5,41
CHEMBL4163321,CN(CCN(C)Cc1ccc(C(=O)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)cc1)CCn1nc(-c2ccc(Cl)cc2)c2c(N)ncnc21,6.494850021680094,746.7069999999998,7.385200000000006,3,11,143.01,13,7,7,53
CHEMBL4160854,Nc1n[nH]c2cccc(-c3ccc(NC(=S)Nc4cc(Br)ccc4OC(F)(F)F)cc3)c12,5.267606240177032,522.3500000000001,6.2821000000000025,4,4,87.99,4,4,4,32
CHEMBL4165199,O=C(Nc1ccc(Oc2ccnc3[nH]ccc23)cc1)c1nn(-c2ccc(Cl)c(C(F)(F)F)c2)ccc1=O,5.0,525.8740000000001,5.825600000000002,2,6,101.89999999999998,5,5,5,37
CHEMBL4159909,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC)cc1N1CCCN(C)CC1,8.443697499232712,614.1719999999998,5.0743000000000045,3,10,128.79,10,3,4,42
CHEMBL4171115,COc1cc2c(Oc3ccc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)c(F)c3)ccnc2cc1OCCCN1CCCC1,6.090443970758825,667.7099999999996,6.628400000000006,2,8,105.26,11,4,6,47
CHEMBL4173696,C/C=C/c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OCCCN4CCOCC4)cc23)cc1,7.684029654543083,547.7000000000005,4.608700000000004,1,9,81.21000000000001,13,3,5,40
CHEMBL4161938,Fc1cccc(COc2ccc(Nc3ncnc4cc(OCCCN5CCOCC5)c(OCCCN5CCOCC5)cc34)cc2Cl)c1,8.154901959985743,666.1940000000004,5.947100000000006,1,10,90.44,15,4,6,47
CHEMBL4176827,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3cccn3)n2)c(OC)cc1N1CCOCC1,6.0,512.5740000000003,4.119200000000003,3,10,118.46,9,4,5,38
CHEMBL4162767,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3nccn3)n2)c(OC)cc1N(C)CCN(C)C,7.480172006224281,528.6210000000002,3.6754000000000016,3,11,125.35999999999999,12,4,4,39
CHEMBL4173470,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3nccn3)n2)c(OC)cc1N1CCC(N(C)C)CC1,6.694004117229195,554.6590000000001,4.208000000000003,3,11,125.35999999999999,10,4,5,41
CHEMBL4173032,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3nccn3)n2)c(OC)cc1N1CCN(C)CC1,6.758204568704802,526.6050000000002,3.429400000000001,3,11,125.35999999999999,9,4,5,39
CHEMBL4165126,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3nccn3)n2)c(OC)cc1N1CCOCC1,6.076496933057896,513.5620000000004,3.5142000000000015,3,11,131.35,9,4,5,38
CHEMBL4175782,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ncn(C)n3)n2)c(OC)cc1N(C)CCN(C)C,8.113509274827518,542.6480000000003,3.8902000000000028,3,11,125.36,12,4,4,40
CHEMBL4166210,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3cccn3)n2)c(OC)cc1N1CCN(C)CC1,6.845576026885353,525.6170000000003,4.034400000000002,3,10,112.46999999999998,9,4,5,39
CHEMBL4166609,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-n3cccn3)n2)c(OC)cc1N(C)CCN(C)C,8.387216143280265,527.6330000000003,4.280400000000003,3,10,112.46999999999998,12,4,4,39
CHEMBL4174523,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ccn(C)n3)n2)c(OC)cc1N1CCOCC1,6.0,526.6010000000002,4.334000000000003,3,10,118.46,9,4,5,39
CHEMBL4170033,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ccn(C)n3)n2)c(OC)cc1N1CCN(C)CC1,6.0,539.6440000000002,4.249200000000004,3,10,112.46999999999998,9,4,5,40
